StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_14_TEXT,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q12_1,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q23_33_TEXT,Q24,Q24_1_TEXT,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current class standing?,In which of the following schools or colleges at the University of Missouri are you currently enrolled? (Check all that apply) - Selected Choice,In which of the following schools or colleges at the University of Missouri are you currently enrolled? (Check all that apply) - Other (please specify) - Text,For which Mizzou Student Media outlet have you worked? (Check all that apply),How long did you work at The Maneater?,What position did you hold at The Maneater?,How would you rate the culture at The Maneater? - Culture,Which of the following worked well at The Maneater?,Which of the following did NOT work well at The Maneater?,Are you returning to The Maneater next year? - Selected Choice,Are you returning to The Maneater next year? - No (Why not?) - Text,How long did you work at MUTV?,What position did you hold at MUTV?,How would you rate the culture at MUTV? - Culture,Which of the following worked well at MUTV?,Which of the following did NOT work well at MUTV?,Are you returning to MUTV next year? - Selected Choice,Are you returning to MUTV next year? - No (why not?) - Text,How long did you work at KCOU?,What position did you hold at KCOU?,How would you rate the culture at KCOU? - Culture,Which of the following worked well at KCOU?,Which of the following did NOT work well at KCOU?,Are you returning to KCOU next year? - Selected Choice,Are you returning to KCOU next year? - No (why not?) - Text,How has your participation in Mizzou Student Media benefited your experience at Mizzou?,What specific skills did you learn from this experience that have personally benefited you? - Selected Choice,What specific skills did you learn from this experience that have personally benefited you? - Other - Text,Do you have an internship or employment opportunity lined up for this summer and/or into the future? - Selected Choice,Do you have an internship or employment opportunity lined up for this summer and/or into the future? - Yes (Where/What position?) - Text,Leave a shoutout for someone who had a positive impact on your Mizzou Student Media experience.,Please provide any additional comments that you have regarding Mizzou Student Media.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_14_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_2_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_5_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_5_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_33_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_1_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}"
4/19/2022 16:18,4/19/2022 16:54,IP Address,161.130.189.203,100,2189,TRUE,4/19/2022 16:54,R_3Gker353iaRkbxK,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,School of Journalism,,"MUTV,KCOU",,,,,,,,Since the Spring 2021 semester,Technical Producer,7,"Editing process,Pitch meetings,Collaboration,Leadership (from the General Manager/Asst General Manager),Slack/Google Drive/AirTable,Timeliness of posting content","Leadership (from Dept Heads/Execs),Communication,Timeliness of posting content,Staff participation",Yes,,1 month as of now,News host ,9,"Collaboration within departments,Leadership (from Directors),Onboarding process,Communication",Editing process,Yes,,Yes,"Accountability,Adobe Creative Suite,AP style,Audio recording and editing,Collaboration,Editing,How to pitch a story,Leadership,Live radio production,Networking,Planning and preparation,Reporting/news gathering,Resume building,Self-assessment,Social media etiquette,Time management,Video production,Video recording and editing",,No,,Rachel from MUTV has been super helpful and sweet,N/A
4/19/2022 16:16,4/20/2022 9:29,IP Address,161.130.189.205,100,61972,TRUE,4/20/2022 9:29,R_1QxALjzWgOkVLTm,,,,,38.9361,-92.3056,anonymous,EN,Junior,School of Journalism,,"MUTV,KCOU",,,,,,,,A year and a half,Social Media Director,10,"Collaboration,Leadership (from the General Manager/Asst General Manager),Access to leadership opportunities,Slack/Google Drive/AirTable","Editing process,Pitch meetings,Leadership (from Dept Heads/Execs),Onboarding process,Communication,Timeliness of posting content,Staff participation",Yes,,Two years,"Producer, Social Media Manager",10,"Editing process,Department meetings,Collaboration within departments,Leadership (from Directors),Access to leadership opportunities,Onboarding process,Communication,Slack,Approachability of exec board",Access to trainings/workshops,Yes,,I have gained lots of experience in content creation as well as organization and leadership. ,"Adobe Creative Suite,Audio recording and editing,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Inclusive reporting,Leadership,Live radio production,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Social media etiquette,Time management,FCC policy,Video production,Video recording and editing",,No,,Ryan Cohen,"MUTV has struggled a lot this year. While the execs have some responsibility for this, it feels like we get the least support and resources out of all three student media outlets. I understand we operate as a whole on a shoestring budget, but almost all the equipment MUTV normally uses doesn't work. Currently, one of the cameras just doesn't record video, one of the teleprompters doesn't even work, several of the mics don't work, the NINJA- which is supposed to be the medium that we record our shows onto- doesn't even record sound. "
4/20/2022 9:32,4/20/2022 9:42,IP Address,128.206.176.191,100,609,TRUE,4/20/2022 9:42,R_sSgrTxc5tGdXlvP,,,,,38.9933,-92.3078,anonymous,EN,Sophomore,School of Journalism,,Maneater,2 years,Editor,7,"Pitch meetings,Visuals (graphics, photo, multimedia),Leadership (from section editors),Access to leadership opportunities,Community","Editing process,Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Website,Onboarding process,Communication,Networking,Slack/Google Drive/AirTable,Distribution Day,Budget meetings",No (Why not?),No interest in continuing,,,,,,,,,,,,,,,Fostered community,"Adobe Creative Suite,AP style,Audio recording and editing,Breaking news,Collaboration,Communication,Leadership,Planning and preparation,Reporting/news gathering,Resume building,Time management,Video production,Video recording and editing",,Yes (Where/What position?),Internship with the Institute for Nonprofit News in Dallas,,
4/20/2022 19:40,4/20/2022 19:42,IP Address,161.130.189.219,100,129,TRUE,4/20/2022 19:42,R_1IWQ7cfhEtpHare,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,"Maneater,MUTV",2 months,Staff reporter,10,"Editing process,Pitch meetings,Communication,Slack/Google Drive/AirTable",,No (Why not?),,Entire year,Staff reporter,10,"Pitch meetings,Leadership (from Dept Heads/Execs),Access to leadership opportunities,Access to trainings/workshops,Communication,Slack/Google Drive/AirTable,Staff participation",Timeliness of posting content,Yes,,,,,,,,,,"Inclusive reporting,Leadership,Live radio production,Reporting/news gathering,Resume building,Video production",,No,,,
4/22/2022 11:52,4/22/2022 11:56,IP Address,67.6.188.52,100,236,TRUE,4/22/2022 11:56,R_22XP3GohxNMQNyq,,,,,38.804,-90.8534,anonymous,EN,Junior,School of Journalism,,MUTV,,,,,,,,3 years ,"Staffer, new exec, AGM, GM",10,"Leadership (from the General Manager/Asst General Manager),Access to leadership opportunities,Onboarding process,Slack/Google Drive/AirTable","Editing process,Collaboration,Leadership (from Dept Heads/Execs),Access to trainings/workshops,Communication,Timeliness of posting content,Staff participation",No (why not?),"My term as GM is ending, so I want someone else to have the chance to run!",,,,,,,,Absolutely!,"Accountability,Adobe Creative Suite,AP style,Audio recording and editing,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Leadership,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Social media etiquette,Time management,Video production,Video recording and editing",,Yes (Where/What position?),KOMU,"Cara Wagner, Anna Buturla, Bella Ledonne, Rachel Schwartz, Becky Diehl, Lianna Johnson, Sydney Lewis","I think MSM is such an amazing entity and really serves a vital purpose on Mizzou’s campus. I am going to miss it SO much, but I can’t wait to see it thrive and flourish in the future!"
4/22/2022 16:29,4/22/2022 16:37,IP Address,107.77.209.196,100,460,TRUE,4/22/2022 16:37,R_2R2GBYPXsyS1OgJ,,,,,38.5774,-90.6709,anonymous,EN,Senior,College of Arts and Science (includes the School of Music and Truman School of Public Affairs),,MUTV,,,,,,,,4 years,"Staffer, Executive Producer and Department Manager",8,"Leadership (from the General Manager/Asst General Manager),Access to leadership opportunities,Access to trainings/workshops,Communication","Editing process,Timeliness of posting content,Staff participation",No (why not?),Graduating Senior,,,,,,,,Learned video production skills and gained connections,"Accountability,Adobe Creative Suite,AP style,Audio recording and editing,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Inclusive reporting,Leadership,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Self-assessment,Social media etiquette,Time management,Video production,Video recording and editing",,No,,,
4/22/2022 18:47,4/22/2022 18:51,IP Address,67.6.179.75,100,198,TRUE,4/22/2022 18:51,R_247X63vCpuFQ2Mz,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,School of Journalism,,MUTV,,,,,,,,The entire year ,Sports Exec,10,"Editing process,Collaboration,Leadership (from Dept Heads/Execs),Leadership (from the General Manager/Asst General Manager),Access to leadership opportunities,Access to trainings/workshops,Communication,Timeliness of posting content,Staff participation","Pitch meetings,Onboarding process,Slack/Google Drive/AirTable",No (why not?),It’s just time to hand it off to the next people. I’m hoping to get in at KCOU,,,,,,,,Giving me great skills and experience ,"Adobe Creative Suite,Audio recording and editing,Collaboration,Communication,Editing,Leadership,Planning and preparation,Professionalism,Resume building,Time management,Video production,Video recording and editing",,Yes (Where/What position?),It’s a summer training program in Jacksonville doesn’t have to do with journalism ,My guys Wendell and David are my great friends and we worked really well all year when we had quite a few problems the entire year but we stuck by each other ,
4/26/2022 7:19,4/26/2022 7:21,IP Address,161.130.189.213,100,135,TRUE,4/26/2022 7:21,R_1Eh4IaqFrf8ggCd,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,2 semesters,Social media team/editor,9,"Visuals (graphics, photo, multimedia),Collaboration,Access to leadership opportunities,Access to trainings/workshops,Website,Communication,Networking,Community,Slack/Google Drive/AirTable,Distribution Day,Budget meetings","Editing process,Pitch meetings,Leadership (from section editors),Leadership (from executive editors),Onboarding process",Yes,,,,,,,,,,,,,,,,Great hands on experience,"Accountability,Collaboration,Communication,Leadership,Resume building,Social media etiquette,Time management",,Yes (Where/What position?),JBIER web and photo intern,,
