Year,School,Region,Seed,res,val,pos,G,TotalW,TotalL,TotalWinPct,ConfW,ConfL,ConfWinPct,HomeW,HomeL,HomeWinPct,AwayW,AwayL,AwayWinPct,Tm.,Opp.,MOV,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,lower_School,lower_Region,lower_Seed,lower_val,lower_pos,lower_G,lower_TotalW,lower_TotalL,lower_TotalWinPct,lower_ConfW,lower_ConfL,lower_ConfWinPct,lower_HomeW,lower_HomeL,lower_HomeWinPct,lower_AwayW,lower_AwayL,lower_AwayWinPct,lower_Tm.,lower_Opp.,lower_MOV,lower_MP,lower_FG,lower_FGA,lower_FG%,lower_3P,lower_3PA,lower_3P%,lower_FT,lower_FTA,lower_FT%,lower_ORB,lower_TRB,lower_AST,lower_STL,lower_BLK,lower_TOV,lower_PF
2010,Texas NCAA,East,8,0,higher,1,34,24,10,0.706,9,7,0.5625,15,2,0.882352941,5,6,0.454545455,81.2,70,11.2,40.4,29.6,63.5,0.466,5.74,16.6,0.345,16.4,25.8,0.633,14.8,41.9,14.4,7.91,5.71,13.6,19.7,Wake Forest NCAA,East,9,lower,1,31,20,11,0.645,9,7,0.5625,13,2,0.866666667,5,7,0.416666667,72.8,69.5,3.3,41,26.2,60.3,0.434,4.32,14,0.308,16.2,24.6,0.657,14.9,42.1,11.9,7.13,5.23,15.2,20.1
2010,Clemson NCAA,East,7,0,higher,3,32,21,11,0.656,9,7,0.5625,14,2,0.875,5,6,0.454545455,73.4,64.5,8.9,40,26.6,58.7,0.453,6.75,19.7,0.342,13.5,20.4,0.661,13.1,36.8,14.2,9.41,4.72,15,17.6,Missouri NCAA,East,10,lower,3,34,23,11,0.676,10,6,0.625,16,2,0.888888889,4,6,0.4,77.3,66.2,11.1,40.3,27.2,61.9,0.44,7.59,20.6,0.368,15.2,21,0.724,13,35.3,15.4,10.9,4.71,12.7,19.3
2010,Marquette NCAA,East,6,0,higher,5,34,22,12,0.647,11,7,0.611111111,13,4,0.764705882,6,5,0.545454545,73.1,64.6,8.5,40.6,25.3,55.6,0.456,8.06,19.5,0.413,14.4,19.4,0.741,10.1,31.5,15.2,7.91,2.12,10.4,17.1,Washington NCAA,East,11,lower,5,36,26,10,0.722,11,7,0.611111111,17,2,0.894736842,4,6,0.4,79.2,70,9.2,40.1,27.9,61.4,0.454,5.31,15.8,0.336,18.1,25.1,0.72,13.2,37.9,14.3,7.33,4.19,12.8,21.3
2010,Temple NCAA,East,5,0,higher,7,35,29,6,0.829,14,2,0.875,14,2,0.875,12,3,0.8,64.9,56.8,8.1,40.3,24.3,55.5,0.438,5.83,17.3,0.337,10.5,15.2,0.689,10.8,36.6,14.7,4.66,2.97,10.2,14.9,Cornell NCAA,East,12,lower,7,34,29,5,0.853,13,1,0.928571429,11,1,0.916666667,13,3,0.8125,76.4,64.5,11.9,40.3,26.9,55.7,0.482,9.59,22.3,0.43,11.6,15.8,0.73,10.3,33.8,16,7.15,3.59,12.2,17.6
2010,Wisconsin NCAA,East,4,1,higher,9,33,24,9,0.727,13,5,0.722222222,16,1,0.941176471,5,5,0.5,67.1,56.9,10.2,40.3,23.5,53,0.443,7.45,20.9,0.357,12.6,17.2,0.732,9.7,32,12.5,5.67,3.42,8.76,16.3,Wofford NCAA,East,13,lower,9,35,26,9,0.743,15,3,0.833333333,11,1,0.916666667,10,6,0.625,68.8,61,7.8,40.1,23.6,53.5,0.44,5.8,16.6,0.35,15.9,23.7,0.669,11.5,35.5,13.4,6.91,2.11,11.9,17.7
2010,New Mexico NCAA,East,3,1,higher,11,35,30,5,0.857,14,2,0.875,17,1,0.944444444,10,2,0.833333333,75.9,67.2,8.7,40.3,25.3,57.8,0.438,7.8,21.1,0.369,17.4,26,0.669,13.1,38.5,14.2,6.63,3.43,11.1,17.6,Montana NCAA,East,14,lower,11,32,22,10,0.688,10,6,0.625,14,2,0.875,7,7,0.5,69.6,61.3,8.3,40,24.7,51.1,0.483,6.56,16.4,0.399,13.6,18.8,0.723,8.84,32.8,12.4,6.44,3.31,12.2,17.8
2010,West Virginia NCAA,East,2,1,higher,13,38,31,7,0.816,13,5,0.722222222,12,2,0.857142857,7,4,0.636363636,72.4,63.5,8.9,40.7,24.8,57.6,0.43,6.76,20.1,0.337,16.1,22.8,0.704,15.4,38.6,15.5,5.61,4.08,11.9,18.1,Morgan State NCAA,East,15,lower,13,37,27,10,0.73,15,1,0.9375,11,1,0.916666667,12,7,0.631578947,76,70.4,5.6,40.5,25.9,60.5,0.429,5.54,16.7,0.332,18.6,26.6,0.7,15.4,40.2,12.5,6.57,4.11,13.5,21.1
2010,Kentucky NCAA,East,1,1,higher,15,38,35,3,0.921,14,2,0.875,18,0,1,7,2,0.777777778,79.3,64.9,14.4,40.4,28.1,58.6,0.478,6.08,18.3,0.331,17.1,25.6,0.668,14.2,41.7,15.1,7.34,7.18,14.2,16.9,East Tennessee State NCAA,East,16,lower,15,35,20,15,0.571,13,7,0.65,9,5,0.642857143,9,9,0.5,69.3,67.5,1.8,40.1,24.4,56.5,0.432,5.06,16.4,0.308,15.3,23.3,0.659,12.7,36.5,10.9,8.37,3.2,14.8,19.2
2010,Nevada-Las Vegas NCAA,Midwest,8,0,higher,1,34,25,9,0.735,11,5,0.6875,15,4,0.789473684,9,3,0.75,73.1,63.8,9.3,40.3,26.4,57.4,0.461,6.79,20.4,0.332,13.4,18.7,0.716,9.91,33.8,16.2,7.82,3.44,11.6,20.3,Northern Iowa NCAA,Midwest,9,lower,1,35,30,5,0.857,15,3,0.833333333,14,0,1,9,3,0.75,63.3,55.1,8.2,40,21.3,49.7,0.429,6.66,18.8,0.354,14,18.4,0.758,9.51,32.3,10.5,5.66,2,10.6,15.9
2010,Oklahoma State NCAA,Midwest,7,0,higher,3,33,22,11,0.667,9,7,0.5625,15,1,0.9375,3,7,0.3,73.8,68,5.8,40.2,25.4,56.4,0.451,8.3,23.8,0.349,14.7,20.6,0.714,9.91,35.4,12.5,6.48,2.55,12.7,20.1,Georgia Tech NCAA,Midwest,10,lower,3,36,23,13,0.639,7,9,0.4375,14,2,0.875,3,8,0.272727273,72.8,65.7,7.1,40.1,26.3,57.3,0.459,5.92,16.3,0.363,14.2,21.6,0.657,12.9,39.7,14.1,8,5.28,15.9,18.6
