Year,Seed,School,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PPG,PAG,MOV,uSeed,uSchool,uConfW,uConfL,uHomeW,uHomeL,uAwayW,uAwayL,uFG,uFGA,uFG%,u3P,u3PA,u3P%,ueFG%,uFT,uFTA,uFT%,uORB,uTRB,uAST,uSTL,uBLK,uTOV,uPF,uPPG,uPAG,uMOV,res
2015,12,Mississippi State,6,12,9,8,3,8,20.9,48.7,0.43,4.2,13.6,0.306,0.472,15.8,22.7,0.696,10.1,34.3,8.7,6.4,2.8,14.8,18.9,61.8,63.5,-1.7,13,Auburn,4,14,9,8,2,10,21.7,53.7,0.404,7.2,20.8,0.347,0.471,17.3,26,0.666,10.2,31.5,10.7,6.8,2.5,12.9,20.2,67.9,72.1,-4.2,0
2015,11,South Carolina,6,12,10,6,3,7,22.3,55.1,0.404,5.5,18.2,0.301,0.454,15,20.4,0.737,12.3,35.7,13.2,6.3,4,12.8,19.2,65,62,3,14,Missouri,3,15,8,8,1,10,21.3,52.9,0.403,6.1,18.6,0.329,0.461,11.7,17.5,0.666,10.2,32.8,10.7,5.6,2.8,13,19.5,60.5,67.9,-7.4,1
2015,8,Florida,8,10,11,5,2,9,23.2,53.4,0.434,6.6,20.4,0.323,0.496,10.6,16.8,0.635,10.5,33.2,13.1,6.9,3.6,12.4,16.9,63.7,60.1,3.6,9,Alabama,8,10,14,5,4,8,22.4,50.7,0.441,6.5,20.5,0.317,0.505,15.9,22.1,0.717,9.6,33,10.3,6.4,3.7,12,19.2,67.1,64.1,3,1
2015,5,Texas A&M,11,7,14,4,5,6,24.4,53.9,0.453,5.5,15.8,0.347,0.504,13.5,20.5,0.658,11.3,36.3,14.7,5.6,2.9,12.4,18,67.8,62.9,4.9,13,Auburn,4,14,9,8,2,10,21.7,53.7,0.404,7.2,20.8,0.347,0.471,17.3,26,0.666,10.2,31.5,10.7,6.8,2.5,12.9,20.2,67.9,72.1,-4.2,0
2015,7,Vanderbilt,9,9,15,4,5,8,23.9,50.7,0.472,7.3,18.6,0.392,0.544,15.5,21.8,0.708,9.7,33.8,15.5,4.8,5.3,12.9,17.2,70.6,64.3,6.3,10,Tennessee,7,11,9,7,5,5,22.7,53.3,0.425,6.1,18.3,0.331,0.482,11.9,17.2,0.691,12.4,32.5,10.9,7.7,3.4,12.1,19.5,63.3,64.2,-0.9,0
2015,6,Ole Miss,11,7,9,7,8,4,24.9,58.9,0.423,6.5,19.5,0.332,0.478,16.4,21.3,0.773,12.6,37.8,13.2,6.6,3.8,11.1,19.6,72.8,68.4,4.4,11,South Carolina,6,12,10,6,3,7,22.3,55.1,0.404,5.5,18.2,0.301,0.454,15,20.4,0.737,12.3,35.7,13.2,6.3,4,12.8,19.2,65,62,3,0
2015,1,Kentucky,18,0,19,0,10,0,25.8,55.1,0.468,5.2,14.9,0.349,0.515,17.6,24.2,0.726,12.6,38,14.2,6.5,6.9,10.5,17.1,74.4,54.3,20.1,8,Florida,8,10,11,5,2,9,23.2,53.4,0.434,6.6,20.4,0.323,0.496,10.6,16.8,0.635,10.5,33.2,13.1,6.9,3.6,12.4,16.9,63.7,60.1,3.6,1
2015,4,LSU,11,7,13,4,8,3,27,59.5,0.455,5.7,16.9,0.339,0.503,13.6,19.9,0.684,12.2,39.2,15.6,7.3,6.2,14.4,15.6,73.4,67.7,5.7,13,Auburn,4,14,9,8,2,10,21.7,53.7,0.404,7.2,20.8,0.347,0.471,17.3,26,0.666,10.2,31.5,10.7,6.8,2.5,12.9,20.2,67.9,72.1,-4.2,0
2015,2,Arkansas,13,5,17,2,7,5,27.2,61,0.445,6.6,18.9,0.349,0.5,16.5,22.8,0.724,13.1,35.8,16.1,7.7,4.7,11.9,19,77.4,70.1,7.3,10,Tennessee,7,11,9,7,5,5,22.7,53.3,0.425,6.1,18.3,0.331,0.482,11.9,17.2,0.691,12.4,32.5,10.9,7.7,3.4,12.1,19.5,63.3,64.2,-0.9,1
2015,3,Georgia,11,7,12,4,8,4,22.6,52.4,0.432,5.6,16.3,0.342,0.485,17.3,25,0.692,10.9,38.2,12.5,5.5,4.6,12.7,18.4,68.2,64.4,3.8,11,South Carolina,6,12,10,6,3,7,22.3,55.1,0.404,5.5,18.2,0.301,0.454,15,20.4,0.737,12.3,35.7,13.2,6.3,4,12.8,19.2,65,62,3,1
