team,ps,pa,wins,result,pd,year
BUF,27,17,13,W,10,2020
NE,21,11,7,W,10,2020
MIA,11,21,10,L,-10,2020
NYJ,17,27,2,L,-10,2020
DEN,14,16,5,L,-2,2020
LV,34,30,8,W,4,2020
LAC,16,13,7,W,3,2020
KC,34,20,14,W,14,2020
JAX,27,20,1,W,7,2020
TEN,16,14,11,W,2,2020
IND,20,27,11,L,-7,2020
HOU,20,34,4,L,-14,2020
PIT,26,16,12,W,10,2020
BAL,38,6,11,W,32,2020
CLE,6,38,11,L,-32,2020
CIN,13,16,4,L,-3,2020
PHI,17,27,4,L,-10,2020
NYG,16,26,6,L,-10,2020
DAL,17,20,6,L,-3,2020
WAS,27,17,7,W,10,2020
CAR,30,34,5,L,-4,2020
TB,23,34,11,L,-11,2020
NO,34,23,12,W,11,2020
ATL,25,38,4,L,-13,2020
SEA,38,25,12,W,13,2020
ARI,24,20,8,W,4,2020
SF,20,24,6,L,-4,2020
LAR,20,17,10,W,3,2020
GB,43,34,13,W,9,2020
DET,23,27,5,L,-4,2020
MIN,34,43,7,L,-9,2020
CHI,27,23,8,W,4,2020
BUF,17,16,10,W,1,2019
NE,33,3,12,W,30,2019
MIA,10,59,5,L,-49,2019
NYJ,16,17,7,L,-1,2019
DEN,16,24,7,L,-8,2019
LV,24,16,7,W,8,2019
LAC,30,24,5,W,6,2019
KC,40,26,12,W,14,2019
JAX,26,40,6,L,-14,2019
TEN,43,13,9,W,30,2019
IND,24,30,7,L,-6,2019
HOU,28,30,10,L,-2,2019
PIT,3,33,8,L,-30,2019
BAL,59,10,14,W,49,2019
CLE,13,43,6,L,-30,2019
CIN,20,21,2,L,-1,2019
PHI,32,27,9,W,5,2019
NYG,17,35,4,L,-18,2019
DAL,35,17,8,W,18,2019
WAS,27,32,3,L,-5,2019
CAR,27,30,5,L,-3,2019
TB,17,31,7,L,-14,2019
NO,30,28,13,W,2,2019
ATL,12,28,7,L,-16,2019
SEA,21,20,11,W,1,2019
ARI,27,27,5,L,0,2019
SF,31,17,13,W,14,2019
LAR,30,27,9,W,3,2019
GB,10,3,13,W,7,2019
DET,27,27,3,L,0,2019
MIN,28,12,10,W,16,2019
CHI,3,10,8,L,-7,2019
BUF,3,47,6,L,-44,2018
NE,27,20,11,W,7,2018
MIA,27,20,7,W,7,2018
NYJ,48,17,4,W,31,2018
DEN,27,24,6,W,3,2018
LV,13,33,4,L,-20,2018
LAC,28,38,12,L,-10,2018
KC,38,28,12,W,10,2018
JAX,20,15,5,W,5,2018
TEN,20,27,9,L,-7,2018
IND,23,34,10,L,-11,2018
HOU,20,27,11,L,-7,2018
PIT,21,21,9,L,0,2018
BAL,47,3,10,W,44,2018
CLE,21,21,7,L,0,2018
CIN,34,23,6,W,11,2018
PHI,18,12,9,W,6,2018
NYG,15,20,5,L,-5,2018
DAL,16,8,10,W,8,2018
WAS,24,6,7,W,18,2018
CAR,16,8,7,W,8,2018
TB,48,40,5,W,8,2018
NO,40,48,13,L,-8,2018
ATL,12,18,7,L,-6,2018
SEA,24,27,10,L,-3,2018
ARI,6,24,3,L,-18,2018
SF,16,24,4,L,-8,2018
LAR,33,13,13,W,20,2018
GB,24,23,6,W,1,2018
DET,17,48,6,L,-31,2018
MIN,24,16,8,W,8,2018
CHI,23,24,12,L,-1,2018
